"code","country","wave","F115","F116","F117","F118","F119","F120","F121","F122","F123","X049","c2","c3","name"
156,"CN",6,1.89304347826087,1.47,1.30173913043478,1.47478260869565,1.16521739130435,1.99869565217391,2.62739130434783,2.39521739130435,1.70521739130435,7.74739130434783,"CN"," CHN"," CHINA"
158,"TW",3,2.00128205128205,1.90641025641026,1.51410256410256,1.98846153846154,1.90641025641026,2.8474358974359,3.79358974358974,4.81923076923077,2.18846153846154,6.31923076923077,"TW"," TWN"," TAIWAN"
158,"TW",5,2.00977995110024,1.89160554197229,1.45639771801141,3.75468622656887,2.75713121434393,3.45395273023635,4.58272208638957,6.11817440912795,2.27791361043195,6.63162184189079,"TW"," TWN"," TAIWAN"
158,"TW",6,2.29563812600969,1.80694668820679,1.51292407108239,4.19709208400646,3.08885298869144,3.27221324717286,4.74717285945073,5.19628432956381,2.24717285945073,6.41276252019386,"TW"," TWN"," TAIWAN"
170,"CO",3,4.29609958506224,1.91120331950207,1.47651452282158,2.61875518672199,3.6544398340249,1.92282157676349,4.86821576763485,4.56331950207469,3.32564315352697,5.74921161825726,"CO"," COL"," COLOMBIA"
170,"CO",5,5,1.54545454545455,1.53619834710744,3.67074380165289,1.91570247933884,1.95239669421488,4.62578512396694,3.19206611570248,1.39338842975207,5,"CO"," COL"," COLOMBIA"
170,"CO",6,3.18783068783069,1.63888888888889,1.5218253968254,3.26984126984127,2.42592592592593,1.88359788359788,4.17791005291005,2.99867724867725,1.62896825396825,6.55555555555556,"CO"," COL"," COLOMBIA"
196,"CY",5,2.59428571428571,1.93333333333333,1.69142857142857,3.68380952380952,2.46571428571429,4.08190476190476,6.04952380952381,3.24666666666667,2.17142857142857,3.63904761904762,"CY"," CYP"," CYPRUS"
196,"CY",6,2.07,1.597,1.514,3.547,2.451,3.813,6.371,5,2.211,3.958,"CY"," CYP"," CYPRUS"
246,"FI",1,1.89332003988036,2.39082751744766,1.43968095712861,3.36490528414756,2.93220338983051,4.56829511465603,5.76769690927218,4.58923230309073,2.48953140578265,5,"FI"," FIN"," FINLAND"
